,Covariates,Feature_Importance,iteration
28,SG_SOC_Content_005cm,98.7291352251852,1
29,SG_Sand_Content_005cm,82.80020288984636,1
1,CHELSA_BIO_Annual_Mean_Temperature,77.42473501944939,1
0,CGIAR_PET,76.12642564849351,1
18,EarthEnvTopoMed_Elevation,69.2570741593923,1
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,67.40937877317461,1
30,SG_Soil_pH_H2O_005cm,60.92236107019107,1
2,CHELSA_BIO_Annual_Precipitation,60.633188004750465,1
4,CHELSA_BIO_Precipitation_Seasonality,58.00764182940741,1
15,EarthEnvTexture_Homogeneity_EVI,53.560402683145455,1
19,EarthEnvTopoMed_Slope,51.865330953174585,1
14,EarthEnvTexture_Correlation_EVI,51.36961185498269,1
23,GlobBiomass_AboveGroundBiomass,48.794991509963666,1
25,MODIS_NPP,46.356591700908865,1
16,EarthEnvTopoMed_AspectCosine,45.771469356699136,1
17,EarthEnvTopoMed_AspectSine,44.69443258074719,1
10,ConsensusLandCoverClass_Mixed_Other_Trees,41.53120622734725,1
11,ConsensusLandCoverClass_Shrubs,40.35254221466179,1
13,EarthEnvTexture_CoOfVar_EVI,39.62826734233537,1
20,EarthEnvTopoMed_TopoPositionIndex,38.53967979350188,1
27,SG_Depth_to_bedrock,32.239556785212926,1
12,ConsensusLandCover_Human_Development_Percentage,31.547573161372732,1
22,GHS_Population_Density,27.834144998862786,1
21,EsaCci_BurntAreasProbability,22.99377777210225,1
9,ConsensusLandCoverClass_Herbaceous_Vegetation,20.549861856478934,1
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,19.964700858188394,1
5,ConsensusLandCoverClass_Barren,19.0115084042935,1
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,17.87802303780217,1
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,13.786187788115752,1
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,11.943668398862131,1
24,GlobPermafrost_PermafrostExtent,0.21875,1
28,SG_SOC_Content_005cm,98.7291352251852,1
29,SG_Sand_Content_005cm,82.80020288984636,1
1,CHELSA_BIO_Annual_Mean_Temperature,77.42473501944939,1
0,CGIAR_PET,76.12642564849351,1
18,EarthEnvTopoMed_Elevation,69.2570741593923,1
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,67.40937877317461,1
30,SG_Soil_pH_H2O_005cm,60.92236107019107,1
2,CHELSA_BIO_Annual_Precipitation,60.633188004750465,1
4,CHELSA_BIO_Precipitation_Seasonality,58.00764182940741,1
15,EarthEnvTexture_Homogeneity_EVI,53.560402683145455,1
19,EarthEnvTopoMed_Slope,51.865330953174585,1
14,EarthEnvTexture_Correlation_EVI,51.36961185498269,1
23,GlobBiomass_AboveGroundBiomass,48.794991509963666,1
25,MODIS_NPP,46.356591700908865,1
16,EarthEnvTopoMed_AspectCosine,45.771469356699136,1
17,EarthEnvTopoMed_AspectSine,44.69443258074719,1
10,ConsensusLandCoverClass_Mixed_Other_Trees,41.53120622734725,1
11,ConsensusLandCoverClass_Shrubs,40.35254221466179,1
13,EarthEnvTexture_CoOfVar_EVI,39.62826734233537,1
20,EarthEnvTopoMed_TopoPositionIndex,38.53967979350188,1
27,SG_Depth_to_bedrock,32.239556785212926,1
12,ConsensusLandCover_Human_Development_Percentage,31.547573161372732,1
22,GHS_Population_Density,27.834144998862786,1
21,EsaCci_BurntAreasProbability,22.99377777210225,1
9,ConsensusLandCoverClass_Herbaceous_Vegetation,20.549861856478934,1
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,19.964700858188394,1
