,Covariates,Feature_Importance,iteration
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,30.140807544588416,1
0,CGIAR_PET,28.416845837222194,1
1,CHELSA_BIO_Annual_Mean_Temperature,24.597462496291122,1
28,SG_SOC_Content_005cm,23.184593069108477,1
4,CHELSA_BIO_Precipitation_Seasonality,16.036603766289293,1
23,GlobBiomass_AboveGroundBiomass,8.708370981175555,1
29,SG_Sand_Content_005cm,7.098670509300534,1
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,5.894059131093767,1
30,SG_Soil_pH_H2O_005cm,4.0019415815216695,1
11,ConsensusLandCoverClass_Shrubs,3.6372525600317367,1
15,EarthEnvTexture_Homogeneity_EVI,2.408248900937772,1
25,MODIS_NPP,2.253542639527114,1
12,ConsensusLandCover_Human_Development_Percentage,1.948897647821372,1
18,EarthEnvTopoMed_Elevation,1.6927585398955878,1
19,EarthEnvTopoMed_Slope,1.679067797097111,1
13,EarthEnvTexture_CoOfVar_EVI,1.4393124732162847,1
17,EarthEnvTopoMed_AspectSine,1.3456313378961056,1
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,1.3386705898549969,1
21,EsaCci_BurntAreasProbability,1.0463497251027576,1
14,EarthEnvTexture_Correlation_EVI,1.0230608617934431,1
16,EarthEnvTopoMed_AspectCosine,0.9930885103463776,1
20,EarthEnvTopoMed_TopoPositionIndex,0.9584727703169416,1
2,CHELSA_BIO_Annual_Precipitation,0.8904737423903324,1
22,GHS_Population_Density,0.7999984585128119,1
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.4883226495726496,1
5,ConsensusLandCoverClass_Barren,0.3997193877551021,1
10,ConsensusLandCoverClass_Mixed_Other_Trees,0.2517761822238925,1
27,SG_Depth_to_bedrock,0.09499999999999997,1
24,GlobPermafrost_PermafrostExtent,0.0,1
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.0,1
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.0,1
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,30.675570680851838,2
1,CHELSA_BIO_Annual_Mean_Temperature,28.873238633290143,2
0,CGIAR_PET,27.51187141620913,2
28,SG_SOC_Content_005cm,19.763681937960595,2
4,CHELSA_BIO_Precipitation_Seasonality,16.380906308070156,2
29,SG_Sand_Content_005cm,8.389479178425553,2
23,GlobBiomass_AboveGroundBiomass,8.093650850987727,2
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,4.518310637623046,2
19,EarthEnvTopoMed_Slope,3.378472723629089,2
30,SG_Soil_pH_H2O_005cm,3.367777013306873,2
2,CHELSA_BIO_Annual_Precipitation,3.2678868024630674,2
25,MODIS_NPP,3.029645320285155,2
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,2.736737562403665,2
13,EarthEnvTexture_CoOfVar_EVI,2.6722345186886214,2
11,ConsensusLandCoverClass_Shrubs,2.500189245196543,2
12,ConsensusLandCover_Human_Development_Percentage,2.383708048504504,2
18,EarthEnvTopoMed_Elevation,1.8315519576217616,2
17,EarthEnvTopoMed_AspectSine,1.8039949906340853,2
15,EarthEnvTexture_Homogeneity_EVI,1.719902184043807,2
14,EarthEnvTexture_Correlation_EVI,1.6882857373584093,2
10,ConsensusLandCoverClass_Mixed_Other_Trees,1.4956628001703458,2
22,GHS_Population_Density,1.1317160068090024,2
8,ConsensusLandCoverClass_Evergreen_Deciduous_Needleleaf_Trees,0.8336080681552179,2
27,SG_Depth_to_bedrock,0.7526109404851609,2
20,EarthEnvTopoMed_TopoPositionIndex,0.6145722140714358,2
5,ConsensusLandCoverClass_Barren,0.6100780532598714,2
16,EarthEnvTopoMed_AspectCosine,0.4387944257860251,2
9,ConsensusLandCoverClass_Herbaceous_Vegetation,0.21875,2
21,EsaCci_BurntAreasProbability,0.1303638059701493,2
7,ConsensusLandCoverClass_Evergreen_Broadleaf_Trees,0.0,2
24,GlobPermafrost_PermafrostExtent,0.0,2
0,CGIAR_PET,29.065137457139933,3
28,SG_SOC_Content_005cm,25.34299371427524,3
3,CHELSA_BIO_Max_Temperature_of_Warmest_Month,25.016688696451975,3
1,CHELSA_BIO_Annual_Mean_Temperature,24.312993946427486,3
4,CHELSA_BIO_Precipitation_Seasonality,14.548749302362436,3
29,SG_Sand_Content_005cm,9.649608057156323,3
23,GlobBiomass_AboveGroundBiomass,9.347438493375096,3
19,EarthEnvTopoMed_Slope,4.94634877135031,3
6,ConsensusLandCoverClass_Deciduous_Broadleaf_Trees,4.901763023075381,3
25,MODIS_NPP,3.782133393056893,3
30,SG_Soil_pH_H2O_005cm,3.5469751603040645,3
11,ConsensusLandCoverClass_Shrubs,3.467248228660997,3
26,PelletierEtAl_SoilAndSedimentaryDepositThicknesses,2.826602455981976,3
9,ConsensusLandCoverClass_Herbaceous_Vegetation,2.465616166199633,3
18,EarthEnvTopoMed_Elevation,2.465336473191121,3
27,SG_Depth_to_bedrock,2.28342332966917,3
12,ConsensusLandCover_Human_Development_Percentage,2.149888514555062,3
